Symbol,Description,Sector,Industry,Exchange,NAME OF COMPANY,SERIES,ISIN NUMBER,,CURRENCY,COUNTRY,Asset Id
LTIM,LTIMINDTREE LTD,Commercial Services,Miscellaneous Commercial Services,NSE,LTIMindtree Limited,EQ,INE214T01019,,INR,INDIA,10000
GLOBAL,GLOBAL EDUCATION LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Global Education Limited,EQ,INE291W01029,,INR,INDIA,10000
VERANDA,VERANDA LEARNING SOL LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Veranda Learning Solutions Limited,EQ,INE0IQ001011,,INR,INDIA,10000
AGRITECH,AGRI-TECH (INDIA),Commercial Services,Miscellaneous Commercial Services,NSE,Agri-Tech (India) Limited,EQ,INE449G01018,,INR,INDIA,10000
RITES,RITES LTD,Commercial Services,Miscellaneous Commercial Services,NSE,RITES Limited,EQ,INE320J01015,,INR,INDIA,10000
FSL,FIRSTSOURCE SOLUTI,Commercial Services,Miscellaneous Commercial Services,NSE,Firstsource Solutions Limited,EQ,INE684F01012,,INR,INDIA,10000
SIS,SIS LTD,Commercial Services,Miscellaneous Commercial Services,NSE,SIS LIMITED,EQ,INE285J01028,,INR,INDIA,10000
SYNGENE,SYNGENE INTERNATIO,Commercial Services,Miscellaneous Commercial Services,NSE,Syngene International Limited,EQ,INE398R01022,,INR,INDIA,10000
RADIANTCMS,RADIANT CASH MGMT SER LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Radiant Cash Management Services Limited,EQ,INE855R01021,,INR,INDIA,10000
CAREERP,CAREER POINT LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Career Point Limited,EQ,INE521J01018,,INR,INDIA,10000
ARSHIYA,ARSHIYA LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Arshiya Limited,EQ,INE968D01022,,INR,INDIA,10000
SPCENET,SPACENET ENTERPRIS,Commercial Services,Advertising/Marketing Services,NSE,Spacenet Enterprises India Limited,EQ,INE970N01027,,INR,INDIA,10000
REPRO,REPRO INDIA LTD,Commercial Services,Commercial Printing/Forms,NSE,Repro India Limited,EQ,INE461B01014,,INR,INDIA,10000
KAPSTON,KAPSTON FACILITIES MGMT L,Commercial Services,Miscellaneous Commercial Services,NSE,Kapston Services Limited,EQ,INE542Z01010,,INR,INDIA,10000
VIMTALABS,VIMTA LABORATORIES,Commercial Services,Miscellaneous Commercial Services,NSE,Vimta Labs Limited,EQ,INE579C01029,,INR,INDIA,10000
PRESSMN,PRESSMAN ADVERTISI,Commercial Services,Advertising/Marketing Services,NSE,Pressman Advertising Limited,EQ,INE980A01023,,INR,INDIA,10000
MAPMYINDIA,C.E. INFO SYSTEMS LTD,Commercial Services,Miscellaneous Commercial Services,NSE,C.E. Info Systems Limited,EQ,INE0BV301023,,INR,INDIA,10000
ICRA,ICRA LTD,Commercial Services,Financial Publishing/Services,NSE,ICRA Limited,EQ,INE725G01011,,INR,INDIA,30001
VERTOZ,VERTOZ ADVERTISING LTD,Commercial Services,Advertising/Marketing Services,NSE,Vertoz Advertising Limited,EQ,INE188Y01015,,INR,INDIA,30001
AGSTRA,AGS TRANSACT TECH LTD,Commercial Services,Miscellaneous Commercial Services,NSE,AGS Transact Technologies Limited,EQ,INE583L01014,,INR,INDIA,30001
TEAMLEASE,TEAMLEASE SERVICES,Commercial Services,Personnel Services,NSE,Teamlease Services Limited,EQ,INE985S01024,,INR,INDIA,30001
SUVIDHAA,SUVIDHAA INFOSERVE LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Suvidhaa Infoserve Limited,EQ,INE018401013,,INR,INDIA,30001
RTNINDIA,RATTANINDIA ENT LTD,Commercial Services,Miscellaneous Commercial Services,NSE,RattanIndia Enterprises Limited,EQ,INE834M01019,,INR,INDIA,30001
NOIDATOLL,NOIDA TOLL BRIDGE,Commercial Services,Advertising/Marketing Services,NSE,Noida Toll Bridge Company Limited,EQ,INE781B01015,,INR,INDIA,30001
4THDIM,FOURTH DIMENSION SOL L,Commercial Services,Miscellaneous Commercial Services,NSE,Fourth Dimension Solutions Limited,BE,INE382T01030,,INR,INDIA,30001
INFIBEAM,INFIBEAM AVENUES L,Commercial Services,Miscellaneous Commercial Services,NSE,Infibeam Avenues Limited,EQ,INE483S01020,,INR,INDIA,30001
ONEPOINT,ONE POINT ONE SOLU,Commercial Services,Miscellaneous Commercial Services,NSE,One Point One Solutions Limited,EQ,INE840Y01029,,INR,INDIA,30001
NIITLTD,NIIT,Commercial Services,Miscellaneous Commercial Services,NSE,NIIT Limited,EQ,INE161A01038,,INR,INDIA,30001
ANTGRAPHIC,ANTARCTICA LTD,Commercial Services,Commercial Printing/Forms,NSE,Antarctica Limited,EQ,INE414B01021,,INR,INDIA,30001
APTECHT,APTECH LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Aptech Limited,EQ,INE266F01018,,INR,INDIA,30001
QUESS,QUESS CORP LTD,Commercial Services,Personnel Services,NSE,Quess Corp Limited,EQ,INE615P01015,,INR,INDIA,30001
CYIENT,CYIENT LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Cyient Limited,EQ,INE136B01020,,INR,INDIA,30001
EDUCOMP,EDUCOMP SOLUTIONS,Commercial Services,Miscellaneous Commercial Services,NSE,Educomp Solutions Limited,BZ,INE216H01027,,INR,INDIA,30001
AXISCADES,AXISCADES TECHNOLO,Commercial Services,Miscellaneous Commercial Services,NSE,AXISCADES Technologies Limited,EQ,INE555B01013,,INR,INDIA,30001
KEEPLEARN,DSJ KEEP LEARNING,Commercial Services,Commercial Printing/Forms,NSE,DSJ Keep Learning Limited,BE,INE055C01020,,INR,INDIA,30001
CHOICEIN,CHOICE INTERNATIONAL LTD,Commercial Services,Miscellaneous Commercial Services,NSE,Choice International Limited,EQ,INE102B01014,,INR,INDIA,30001
CLEDUCATE,CL EDUCATE LTD,Commercial Services,Miscellaneous Commercial Services,NSE,CL Educate Limited,EQ,INE201M01029,,INR,INDIA,30001
ECLERX,ECLERX SERVICES,Commercial Services,Miscellaneous Commercial Services,NSE,eClerx Services Limited,EQ,INE738I01010,,INR,INDIA,30001
FCSSOFT,FCS SOFTWARE SOLUT,Commercial Services,Miscellaneous Commercial Services,NSE,FCS Software Solutions Limited,EQ,INE512B01022,,INR,INDIA,30001
TCPLPACK,TCPL PACKAGING LTD,Commercial Services,Commercial Printing/Forms,NSE,TCPL Packaging Limited,EQ,INE822C01015,,INR,INDIA,30001
TOUCHWOOD,TOUCHWOOD ENTERTAI,Commercial Services,Miscellaneous Commercial Services,NSE,Touchwood Entertainment Limited,EQ,INE486Y01013,,INR,INDIA,40004
NBCC,NBCC (INDIA) LTD,Commercial Services,Miscellaneous Commercial Services,NSE,NBCC (India) Limited,EQ,INE095N01031,,INR,INDIA,40004
EXCEL,EXCEL REALTY N INF,Commercial Services,Miscellaneous Commercial Services,NSE,Excel Realty N Infra Limited,EQ,INE688J01023,,INR,INDIA,40004
SECURCRED,SECUR CREDENTIALS LTD,Commercial Services,Financial Publishing/Services,NSE,SecUR Credentials Limited,EQ,INE195Y01010,,INR,INDIA,40004
DJML,DJ MEDIAPRINT & LOG LTD,Commercial Services,Commercial Printing/Forms,NSE,DJ Mediaprint & Logistics Limited,EQ,INE0B1K01014,,INR,INDIA,40004
MITCON,MITCON CON,Commercial Services,Miscellaneous Commercial Services,NSE,MITCON Consultancy & Engineering Services Limited,EQ,INE828O01033,,INR,INDIA,40004
CARERATING,CARE RATINGS LTD,Commercial Services,Financial Publishing/Services,NSE,CARE Ratings Limited,EQ,INE752H01013,,INR,INDIA,40004
