SYMBOL,SERIES,LAST
182D220923,TB,96.54
182D250523,TB,98.92
20MICRONS,EQ,80.75
21STCENMGM,EQ,20.8
360ONE,EQ,433.8
364D010623,TB,97.01
364D211223,TB,95.2
364D231123,TB,95.5
364D290324,TB,93
364D290623,TB,97.03
3IINFOLTD,EQ,34.45
3MINDIA,EQ,22888
3PLAND,EQ,23.15
426GS2023,GS,98
4THDIM,BE,32.3
515GS2025,GS,96
5PAISA,EQ,286.5
618GS2024,GS,101.6
622GS2035,GS,90.5
63MOONS,EQ,168.3
654GS2032,GS,97.5
667GS2035,GS,95.25
667GS2050,GS,94.75
689GS2025,GS,101.25
68GS2060,GS,96
695GS2061,GS,97.24
699GS2051,GS,96.76
710GS2029,GS,103.24
726GS2032,GS,101.75
727GS2026,GS,101
732GS2024,GS,100.26
736GS2052,GS,101.45
738GS2027,GS,103.8
74GS2062,GS,102
754GS2036,GS,104.99
759TS37,SG,100
762UK33,SG,100
824GS2027,GS,107.6
897GS2030,GS,113.7
91D010623,TB,98.6
91D110523,TB,99.29
91D130423,TB,99.6
91D180523,TB,99.3
91D230623,TB,98.01
92GS2030,GS,114.99
A2ZINFRA,EQ,6.9
AAATECH,EQ,58.25
AAKASH,EQ,6.65
AAREYDRUGS,EQ,28.4
AARON,EQ,194.7
AARTIDRUGS,EQ,405
AARTIIND,EQ,538
AARTIPHARM,EQ,302.8
AARTIPP,E1,243.2
AARTISURF,EQ,570.9
AARVEEDEN,EQ,23.7
AARVI,EQ,132.95
AAVAS,EQ,1675
ABAN,EQ,37.2
ABB,EQ,3400
ABBOTINDIA,EQ,22880
ABCAPITAL,EQ,159.45
ABFRL,EQ,222
ABINFRA,SM,30.7
ABMINTLLTD,BE,44.8
ABSLAMC,EQ,332.6
ABSLBANETF,EQ,40.89
ABSLLIQUID,EQ,999.99
ABSLNN50ET,EQ,39.4
ACC,EQ,1745
ACCELYA,EQ,1259
ACCURACY,EQ,13.85
ACE,EQ,406.1
